WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on http://127.0.0.1:5000
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 288-462-665
127.0.0.1 - - [24/Jun/2026 16:00:29] "GET /api/health HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:03:37] "GET / HTTP/1.1" 404 -
127.0.0.1 - - [24/Jun/2026 16:03:37] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Jun/2026 16:04:38] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:38] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:38] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:38] "GET /api/charts?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:46] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:46] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:46] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:46] "GET /api/charts?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:54] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:54] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:54] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:54] "GET /api/charts?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:55] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:55] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:55] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:04:55] "GET /api/charts?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:02] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:02] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:02] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:02] "GET /api/charts?mission_id=all HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:03] "GET /api/overview HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:03] "GET /api/missions HTTP/1.1" 200 -
127.0.0.1 - - [24/Jun/2026 16:05:03] "GET /api/prediction?mission_id=all HTTP/1.1" 200 -
